Anthony,Carmelo,80,231,28,0.294,0.101,0.154,0.253,0.198,0.615,0.26,0.392,0.382,0.335,,,,,,,
Bryant,Kobe,78,220,33,0.132,0.164,0.197,0.293,0.215,0.688,0.434,0.403,0.422,0.303,,,,,,,
Chandler,Tyson,85,236,29,0.82,0.152,0.014,0.008,0.006,0.753,0.389,0.2,0,0,,,,,,,
Davis,Anthony,82,220,19,0.469,0.183,0.123,0.216,0.009,0.713,0.435,0.373,0.26,0,,,,,,,
Durant,Kevin,82,220,23,0.213,0.157,0.184,0.182,0.265,0.739,0.448,0.424,0.483,0.387,,,,,,,
Harden,James,77,220,22,0.328,0.111,0.024,0.073,0.464,0.723,0.3,0.4,0.413,0.39,,,,,,,
Iguodala,Andre,78,207,28,0.229,0.074,0.084,0.307,0.305,0.752,0.362,0.434,0.32,0.394,,,,,,,
James,LeBron,80,251,27,0.329,0.136,0.135,0.272,0.127,0.758,0.484,0.481,0.384,0.362,,,,,,,
Love,Kevin,82,260,23,0.335,0.159,0.082,0.158,0.266,0.6,0.393,0.287,0.389,0.372,,,,,,,
Paul,Chris,72,183,27,0.158,0.225,0.139,0.238,0.239,0.645,0.48,0.468,0.476,0.371,,,,,,,
Westbrook,Russell,75,187,23,0.291,0.152,0.19,0.212,0.155,0.631,0.358,0.404,0.437,0.316,,,,,,,
Williams,Deron,75,209,28,0.198,0.122,0.101,0.224,0.356,0.568,0.359,0.423,0.395,0.336,,,,,,,
